id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
134424,Yanam,4017,AP,Andhra Pradesh,101,IN,India,16.73308,82.21364,Q1807929
134426,Yanamalakuduru,4017,AP,Andhra Pradesh,101,IN,India,16.48531,80.66746,Q2126598
134437,Yarada,4017,AP,Andhra Pradesh,101,IN,India,17.65872,83.27419,Q564781
57645,Along,4024,AR,Arunachal Pradesh,101,IN,India,28.16951,94.8006,Q519770
57708,Anjaw,4024,AR,Arunachal Pradesh,101,IN,India,28.06549,96.82878,Q15413
58151,Basar,4024,AR,Arunachal Pradesh,101,IN,India,27.99008,94.69451,Q712428
58080,Bomdila,4024,AR,Arunachal Pradesh,101,IN,India,27.26475,92.42472,Q859141
58196,Changlang,4024,AR,Arunachal Pradesh,101,IN,India,27.36265,96.34518,Q15427
131763,Dibang Valley,4024,AR,Arunachal Pradesh,101,IN,India,28.7,95.7,Q42479
131826,East Kameng,4024,AR,Arunachal Pradesh,101,IN,India,27.3,93.05,Q15424
131828,East Siang,4024,AR,Arunachal Pradesh,101,IN,India,28.12379,95.16339,Q1945304
132090,Hayuliang,4024,AR,Arunachal Pradesh,101,IN,India,28.07301,96.54305,Q18348790
132178,Itanagar,4024,AR,Arunachal Pradesh,101,IN,India,27.08694,93.60987,Q41128
132499,Khonsa,4024,AR,Arunachal Pradesh,101,IN,India,27.01667,95.56667,Q2231406
132663,Kurung Kumey,4024,AR,Arunachal Pradesh,101,IN,India,27.99983,93.3924,Q2449506
132769,Lohit District,4024,AR,Arunachal Pradesh,101,IN,India,27.84012,96.19521,Q15438
132779,Lower Dibang Valley,4024,AR,Arunachal Pradesh,101,IN,India,28.37258,95.8804,Q2373368
132780,Lower Subansiri,4024,AR,Arunachal Pradesh,101,IN,India,27.62554,93.93908,Q15436
132934,Margherita,4024,AR,Arunachal Pradesh,101,IN,India,27.28482,95.66796,Q1924981
133121,Naharlagun,4024,AR,Arunachal Pradesh,101,IN,India,27.10467,93.69518,Q2576091
133551,Pasighat,4024,AR,Arunachal Pradesh,101,IN,India,28.06631,95.32678,Q1936930
134120,Tawang,4024,AR,Arunachal Pradesh,101,IN,India,27.57417,91.92437,Q1006270
134135,Tezu,4024,AR,Arunachal Pradesh,101,IN,India,27.91256,96.12882,Q13221
134199,Tirap,4024,AR,Arunachal Pradesh,101,IN,India,27.01917,95.51788,Q15448
134288,Upper Siang,4024,AR,Arunachal Pradesh,101,IN,India,28.83355,94.91806,Q15465
134289,Upper Subansiri,4024,AR,Arunachal Pradesh,101,IN,India,28.3,94,Q15464
134409,West Kameng,4024,AR,Arunachal Pradesh,101,IN,India,27.4,92.35,Q15459
134411,West Siang,4024,AR,Arunachal Pradesh,101,IN,India,28.4,94.55,Q15453
134444,Ziro,4024,AR,Arunachal Pradesh,101,IN,India,27.59497,93.83854,Q663062
57585,Abhayapuri,4027,AS,Assam,101,IN,India,26.32255,90.68526,Q490701
57679,Amguri,4027,AS,Assam,101,IN,India,26.81482,94.52614,Q585858
57787,Badarpur,4027,AS,Assam,101,IN,India,24.86852,92.59606,Q2563426
57820,Baksa,4027,AS,Assam,101,IN,India,26.69804,91.15142,Q622831
57883,Barpathar,4027,AS,Assam,101,IN,India,26.28709,93.88844,Q707805
57884,Barpeta,4027,AS,Assam,101,IN,India,26.47104,91.0308,Q41249
57885,Barpeta Road,4027,AS,Assam,101,IN,India,26.50284,90.96937,Q712460
58150,Basugaon,4027,AS,Assam,101,IN,India,26.46742,90.41951,Q712428
58028,Bihpuriagaon,4027,AS,Assam,101,IN,India,27.01718,93.91673,Q796775
58034,Bijni,4027,AS,Assam,101,IN,India,26.49588,90.70298,Q797126
58053,Bilasipara,4027,AS,Assam,101,IN,India,26.23285,90.2341,Q795803
58075,Bokajan,4027,AS,Assam,101,IN,India,26.02131,93.77945,Q633816
58077,Bokakhat,4027,AS,Assam,101,IN,India,26.64018,93.60052,Q859160
58081,Bongaigaon,4027,AS,Assam,101,IN,India,26.4603,90.6464,Q42197
131634,Cachar,4027,AS,Assam,101,IN,India,24.78213,92.85771,Q42209
131588,Chabua,4027,AS,Assam,101,IN,India,27.48253,95.17451,Q861884
131604,Chapar,4027,AS,Assam,101,IN,India,26.27266,90.44556,Q2733320
131568,Chirang,4027,AS,Assam,101,IN,India,26.52527,90.49066,Q2574898
131657,Darrang,4027,AS,Assam,101,IN,India,26.51195,92.16843,Q42461
131695,Dergaon,4027,AS,Assam,101,IN,India,26.7,93.96667,Q1189812
131732,Dhekiajuli,4027,AS,Assam,101,IN,India,26.70367,92.47808,Q1258219
131733,Dhemaji,4027,AS,Assam,101,IN,India,27.6091,94.7942,Q42473
131737,Dhing,4027,AS,Assam,101,IN,India,26.46793,92.47336,Q1259385
131744,Dhubri,4027,AS,Assam,101,IN,India,26.06749,90.02238,Q1265559
131762,Dibrugarh,4027,AS,Assam,101,IN,India,27.5,95,Q42479
131766,Digboi,4027,AS,Assam,101,IN,India,27.39321,95.61839,Q1267577
131770,Dima Hasao District,4027,AS,Assam,101,IN,India,25.5,93,Q42774
131776,Diphu,4027,AS,Assam,101,IN,India,25.84341,93.43116,Q1227167
131778,Dispur,4027,AS,Assam,101,IN,India,26.13564,91.80069,Q271911
131795,Duliagaon,4027,AS,Assam,101,IN,India,27.37227,95.30754,Q1387263
131796,Dum Duma,4027,AS,Assam,101,IN,India,27.56884,95.55664,Q1387064
131928,Gauripur,4027,AS,Assam,101,IN,India,26.08334,89.96118,Q279871
132004,Goalpara,4027,AS,Assam,101,IN,India,26.12791,90.60974,Q42522
131967,Gohpur,4027,AS,Assam,101,IN,India,26.88184,93.6156,Q1708616
131976,Golaghat,4027,AS,Assam,101,IN,India,26.4092,93.91193,Q42517
131977,Golakganj,4027,AS,Assam,101,IN,India,26.10216,89.82275,Q1707247
131997,Goshaingaon,4027,AS,Assam,101,IN,India,26.43946,89.96307,Q1707386
132039,Guwahati,4027,AS,Assam,101,IN,India,26.1844,91.7458,Q199605
132134,Haflong,4027,AS,Assam,101,IN,India,25.16478,93.01744,Q1026900
132055,Hailakandi,4027,AS,Assam,101,IN,India,24.5017,92.60069,Q42505
132137,Hajo,4027,AS,Assam,101,IN,India,26.2452,91.52525,Q1707355
132110,Hojai,4027,AS,Assam,101,IN,India,26.00281,92.85605,Q640538
132126,Howli,4027,AS,Assam,101,IN,India,26.42237,90.98004,Q1707538
132291,Jogighopa,4027,AS,Assam,101,IN,India,26.22646,90.57247,Q6214788
132294,Jorhat,4027,AS,Assam,101,IN,India,26.8,94.26,Q42611
132693,Kamrup,4027,AS,Assam,101,IN,India,26.22322,91.65344,Q2247441
132366,Kamrup Metropolitan,4027,AS,Assam,101,IN,India,26.05375,92.00763,Q2316852
132718,Karbi Anglong,4027,AS,Assam,101,IN,India,26,93.5,Q42558
132402,Karimganj,4027,AS,Assam,101,IN,India,24.6,92.4,Q42542
132518,Kharupatia,4027,AS,Assam,101,IN,India,26.51839,92.14722,Q2120118
132551,Kokrajhar,4027,AS,Assam,101,IN,India,26.6,90.2,Q42618
132742,Lakhimpur,4027,AS,Assam,101,IN,India,27.35,94.25,Q42743
132743,Lakhipur,4027,AS,Assam,101,IN,India,24.79281,93.0091,Q12450962
132793,Lala,4027,AS,Assam,101,IN,India,24.55418,92.61592,Q1929695
132786,Lumding Railway Colony,4027,AS,Assam,101,IN,India,25.74903,93.16998,Q2244284
132842,Mahur,4027,AS,Assam,101,IN,India,25.18305,93.11342,Q1925068
132853,Maibong,4027,AS,Assam,101,IN,India,25.30125,93.13811,Q2563522
133064,Makum,4027,AS,Assam,101,IN,India,27.48652,95.43646,Q2563541
132904,Mangaldai,4027,AS,Assam,101,IN,India,26.44212,92.03047,Q2308247
132937,Mariani,4027,AS,Assam,101,IN,India,26.65725,94.31529,Q2330626
133002,Moranha,4027,AS,Assam,101,IN,India,27.18735,94.91557,Q1345006
132995,Morigaon,4027,AS,Assam,101,IN,India,26.25213,92.34238,Q42737
133110,Nagaon,4027,AS,Assam,101,IN,India,26.35037,92.69225,Q42686
133122,Nahorkatiya,4027,AS,Assam,101,IN,India,27.28912,95.3418,Q2733371
133130,Nalbari,4027,AS,Assam,101,IN,India,26.5,91.4,Q42779
133266,Namrup,4027,AS,Assam,101,IN,India,27.19395,95.31929,Q938816
133284,Nazira,4027,AS,Assam,101,IN,India,26.91649,94.73611,Q2733289
133239,North Guwahati,4027,AS,Assam,101,IN,India,26.19749,91.7202,Q2733384
133240,North Lakhimpur,4027,AS,Assam,101,IN,India,27.23517,94.10357,Q2088889
133248,Numaligarh,4027,AS,Assam,101,IN,India,26.62249,93.72225,Q2738436
133341,Palasbari,4027,AS,Assam,101,IN,India,26.12388,91.53974,Q2228584
133584,Raha,4027,AS,Assam,101,IN,India,26.23333,92.51667,Q2573077
133610,Rangapara,4027,AS,Assam,101,IN,India,26.83772,92.66876,Q2732997
133608,Rangia,4027,AS,Assam,101,IN,India,26.44931,91.61356,Q2475022
133798,Sapatgram,4027,AS,Assam,101,IN,India,26.33732,90.1236,Q2732976
133809,Sarupathar,4027,AS,Assam,101,IN,India,26.206,96.81,Q638291
133916,Sibsagar,4027,AS,Assam,101,IN,India,26.98427,94.63784,Q1284453
133934,Silapathar,4027,AS,Assam,101,IN,India,27.59441,94.72402,Q1617473
133935,Silchar,4027,AS,Assam,101,IN,India,24.82733,92.79787,Q944769
133979,Soalkuchi,4027,AS,Assam,101,IN,India,26.16806,91.57111,Q249311
133998,Sonari,4027,AS,Assam,101,IN,India,27.02462,95.01629,Q2737021
133996,Sonitpur,4027,AS,Assam,101,IN,India,26.76748,92.96425,Q2734240
134003,Sorbhog,4027,AS,Assam,101,IN,India,26.48612,90.8859,Q2545590
134134,Tezpur,4027,AS,Assam,101,IN,India,26.63333,92.8,Q1021162
134175,Tinsukia,4027,AS,Assam,101,IN,India,27.6,95.6,Q42756
134203,Titabar,4027,AS,Assam,101,IN,India,26.6014,94.20386,Q2717487
134252,Udalguri,4027,AS,Assam,101,IN,India,26.75367,92.10215,Q2726152
57661,Amarpur,4037,BR,Bihar,101,IN,India,25.03967,86.90247,Q1609229
57730,Araria,4037,BR,Bihar,101,IN,India,26.2,87.4,Q42901
57739,Arrah,4037,BR,Bihar,101,IN,India,25.55629,84.66335,Q588587
57747,Arwal,4037,BR,Bihar,101,IN,India,25.16158,84.6904,Q42917
57749,Asarganj,4037,BR,Bihar,101,IN,India,25.15046,86.68639,Q589912
57766,Aurangabad,4037,BR,Bihar,101,IN,India,24.75204,84.3742,Q590550
57796,Bagaha,4037,BR,Bihar,101,IN,India,27.09918,84.09003,Q590593
57809,Bahadurganj,4037,BR,Bihar,101,IN,India,26.26172,87.82443,Q622603
57815,Bairagnia,4037,BR,Bihar,101,IN,India,26.74063,85.27323,Q636552
57816,Baisi,4037,BR,Bihar,101,IN,India,25.86302,87.74487,Q4848696
57818,Bakhtiyarpur,4037,BR,Bihar,101,IN,India,25.46179,85.53179,Q622609
57850,Bangaon,4037,BR,Bihar,101,IN,India,25.86728,86.51152,Q5266882
57854,Banka,4037,BR,Bihar,101,IN,India,24.89214,86.98425,Q43097
57855,Banmankhi,4037,BR,Bihar,101,IN,India,25.88857,87.19421,Q4856831
